college,city,course,exam,cutoff_published,strength_FILL_THIS,source_url,status,notes
"Bangalore Institute Of Technology K.R.Road, V.V.Puram, Bangalore-560004",Karnataka,MBA,pgcet,"Closing rank 2,512 (2025 general merit)",primary,https://cetonline.karnataka.gov.in/kea/,VERIFIED-KEA,From KEA's published cutoffs. Add a row per college for any OTHER exam it accepts.
Mount Carmel College,Karnataka,MBA,pgcet,"Closing rank 2,590 (2025 general merit)",primary,https://cetonline.karnataka.gov.in/kea/,VERIFIED-KEA,From KEA's published cutoffs. Add a row per college for any OTHER exam it accepts.
Reva University Bangalore,Karnataka,MBA,pgcet,"Closing rank 2,798 (2025 general merit)",primary,https://cetonline.karnataka.gov.in/kea/,VERIFIED-KEA,From KEA's published cutoffs. Add a row per college for any OTHER exam it accepts.
Dayananda Sagar University Bangalore,Karnataka,MBA,pgcet,"Closing rank 2,998 (2025 general merit)",primary,https://cetonline.karnataka.gov.in/kea/,VERIFIED-KEA,From KEA's published cutoffs. Add a row per college for any OTHER exam it accepts.
"Kristu Jayanti College Of Management And Technology (Mba) K. Narayanapura, Bangalore",Karnataka,MBA,pgcet,"Closing rank 3,055 (2024 general merit)",primary,https://cetonline.karnataka.gov.in/kea/,VERIFIED-KEA,From KEA's published cutoffs. Add a row per college for any OTHER exam it accepts.
Acharya'S Bangalore B-School,Karnataka,MBA,pgcet,"Closing rank 3,258 (2024 general merit)",primary,https://cetonline.karnataka.gov.in/kea/,VERIFIED-KEA,From KEA's published cutoffs. Add a row per college for any OTHER exam it accepts.
New Horizon College Of Engineering (E&T),Karnataka,MBA,pgcet,"Closing rank 3,721 (2025 general merit)",primary,https://cetonline.karnataka.gov.in/kea/,VERIFIED-KEA,From KEA's published cutoffs. Add a row per college for any OTHER exam it accepts.
"Rns Institute Of Technology Channasandra,Bangalore",Karnataka,MBA,pgcet,"Closing rank 3,866 (2025 general merit)",primary,https://cetonline.karnataka.gov.in/kea/,VERIFIED-KEA,From KEA's published cutoffs. Add a row per college for any OTHER exam it accepts.
"Acharya Institute Of Management And Sciences Peenya,Bangalore",Karnataka,MBA,pgcet,"Closing rank 4,072 (2024 general merit)",primary,https://cetonline.karnataka.gov.in/kea/,VERIFIED-KEA,From KEA's published cutoffs. Add a row per college for any OTHER exam it accepts.
"Dayananda Sagar Academy Of Technology And Management Udaya Pura, Kanakapura Road",Karnataka,MBA,pgcet,"Closing rank 4,135 (2025 general merit)",primary,https://cetonline.karnataka.gov.in/kea/,VERIFIED-KEA,From KEA's published cutoffs. Add a row per college for any OTHER exam it accepts.
"Cmr Institute Of Technology 132, Aecs Layout,Bangalore",Karnataka,MBA,pgcet,"Closing rank 4,140 (2025 general merit)",primary,https://cetonline.karnataka.gov.in/kea/,VERIFIED-KEA,From KEA's published cutoffs. Add a row per college for any OTHER exam it accepts.
IIM Bangalore,Bengaluru,MBA,cat,,,https://www.iimb.ac.in/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
IIM Ahmedabad,Ahmedabad,MBA,cat,,,https://www.iima.ac.in/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
IIM Calcutta,Kolkata,MBA,cat,,,https://www.iimcal.ac.in/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
XLRI Jamshedpur,Jamshedpur,MBA,xat,,,https://xlri.ac.in/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
NMIMS Mumbai,Mumbai,MBA,nmat,,,https://www.nmims.edu/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
SIBM Pune,Pune,MBA,snap,,,https://www.sibm.edu/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
SCMHRD Pune,Pune,MBA,snap,,,https://www.scmhrd.edu/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
MDI Gurgaon,Gurugram,MBA,cat,,,https://www.mdi.ac.in/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
SPJIMR Mumbai,Mumbai,MBA,cat,,,https://www.spjimr.org/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
IMT Ghaziabad,Ghaziabad,MBA,cat,,,https://www.imt.edu/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
IMT Ghaziabad,Ghaziabad,MBA,xat,,,https://www.imt.edu/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
Great Lakes Chennai,Chennai,MBA,cat,,,https://www.greatlakes.edu.in/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
Great Lakes Chennai,Chennai,MBA,xat,,,https://www.greatlakes.edu.in/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
Great Lakes Chennai,Chennai,MBA,cmat,,,https://www.greatlakes.edu.in/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
KJ Somaiya Mumbai,Mumbai,MBA,cat,,,https://simsr.somaiya.edu/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
Christ University,Bengaluru,MBA,cat,,,https://christuniversity.in/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
Christ University,Bengaluru,MBA,mat,,,https://christuniversity.in/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
Christ University,Bengaluru,MBA,cmat,,,https://christuniversity.in/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
Christ University,Bengaluru,MBA,xat,,,https://christuniversity.in/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
Alliance University,Bengaluru,MBA,mat,,,https://www.alliance.edu.in/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
Alliance University,Bengaluru,MBA,cmat,,,https://www.alliance.edu.in/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
Alliance University,Bengaluru,MBA,xat,,,https://www.alliance.edu.in/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
Jagdish Sheth School of Management,Bengaluru,MBA,mat,,,https://www.jagsom.edu.in/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
Jagdish Sheth School of Management,Bengaluru,MBA,cmat,,,https://www.jagsom.edu.in/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
Welingkar Bengaluru,Bengaluru,MBA,mat,,,https://welingkar.org/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
Welingkar Bengaluru,Bengaluru,MBA,cmat,,,https://welingkar.org/,DRAFT-NEEDS-YOU,"Confirm the exam is accepted, add the published cutoff, and set strength."
